PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,ImportDate,SO2,SiteId,time,Pollutant
14,EPA_COPY,2020-09-25 09:00,1,2.3,2,24.977222,48,,良好,Xindian,,新店,一般測站,0.3,49,16,24.977222,0.48,2020-09-25T01:00:00Z,198,5,121.537778,121.537778,53,,2020-09-25,EPA-Xindian,3,3,新北市,2020-09-25 09:09:34.493000,1.4,4,01:00:00,
5,EPA_COPY,2020-09-25 09:00,1,1.8,3,24.099611,40,11,良好,Dali,2.9,大里,一般測站,0.3,30,6,24.099611,0.47,2020-09-25T01:00:00Z,52,8,120.677689,120.677689,32,14,2020-09-25,EPA-Dali,3,,臺中市,2020-09-25 09:09:34.493000,2.3,30,01:00:00,
9,EPA_COPY,2020-09-25 09:00,1,1.8,2,24.740644,56,7.2,良好,Zhudong,1.1,竹東,一般測站,0.2,49,14,24.740644,0.27,2020-09-25T01:00:00Z,45,14,121.088903,121.088903,53,8.3,2020-09-25,EPA-Zhudong,3,20,新竹縣,2020-09-25 09:09:34.493000,1.8,23,01:00:00,
8,EPA_COPY,2020-09-25 09:00,1,5.7,4,24.131672,58,9,良好,Xianxi,2,線西,工業測站,0.3,46,6,24.131672,0.3,2020-09-25T01:00:00Z,30,13,120.469061,120.469061,50,11,2020-09-25,EPA-Xianxi,3,16,彰化縣,2020-09-25 09:09:34.493000,2.2,34,01:00:00,
13,EPA_COPY,2020-09-25 09:00,1,3.4,3,24.432133,29,10,良好,Kinmen,1.8,金門,一般測站,0.3,42,15,24.432133,0.34,2020-09-25T01:00:00Z,33,23,118.312256,118.312256,30,12,2020-09-25,EPA-Kinmen,3,30,金門縣,2020-09-25 09:09:34.493000,5.4,77,01:00:00,
8,EPA_COPY,2020-09-25 09:00,1,1.8,3,23.467123,46,7.4,良好,Puzi,3.5,朴子,一般測站,0.3,32,10,23.465308,0.29,2020-09-25T01:00:00Z,15,15,120.24781,120.24735,35,11,2020-09-25,EPA-Puzi,3,24,嘉義縣,2020-09-25 09:09:34.493000,2.1,40,01:00:00,
17,EPA_COPY,2020-09-25 09:00,1,2.6,2,26.160469,55,9.6,普通,Matsu,0.9,馬祖,一般測站,0.3,55,21,26.153611,0.35,2020-09-25T01:00:00Z,340,28,119.949875,119.9525,48,10,2020-09-25,EPA-Matsu,3,45,連江縣,2020-09-25 09:09:34.493000,3.3,75,01:00:00,細懸浮微粒
15,EPA_COPY,2020-09-25 09:00,1,3.8,2,24.863869,58,13,普通,Longtan,3,龍潭,一般測站,0.3,58,24,24.863869,0.42,2020-09-25T01:00:00Z,65,18,121.21635,121.21635,57,16,2020-09-25,EPA-Longtan,3,24,桃園市,2020-09-25 09:09:34.493000,2,21,01:00:00,臭氧八小時
16,EPA_COPY,2020-09-25 09:00,1,1.1,2,24.953278,31,41,普通,Zhongli,32,中壢,交通測站,1,51,20,24.953278,1.88,2020-09-25T01:00:00Z,290,20,121.221667,121.221667,41,73,2020-09-25,EPA-Zhongli,3,31,桃園市,2020-09-25 09:09:34.493000,3.2,68,01:00:00,細懸浮微粒
5,EPA_COPY,2020-09-25 09:00,1,1.7,3,22.755358,32,9.7,良好,Taitung,1.6,臺東,一般測站,0.3,31,6,22.755358,0.49,2020-09-25T01:00:00Z,341,11,121.15045,121.15045,33,11,2020-09-25,EPA-Taitung,3,15,臺東縣,2020-09-25 09:09:34.493000,2.9,62,01:00:00,
