gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,74DA38B0510A,N/A,34,41,100,pingtung,22.676,29.86,120.497,2020-09-25,74DA38B0510A,屏東校園福音團契,01:21:55,23,2020-09-25T01:21:55Z,16.76,GAM/14/0.98,,,,,,
9,1,2,AirBox,74DA38B05110,N/A,20,22,100,NA,24.436,24.37,118.316,2020-09-25,74DA38B05110,紫韻箏樂教室,01:19:56,14,2020-09-25T01:19:56Z,11.89,GAM/7/0.6,,,,,,
9,1,2,AirBox,74DA38B0511C,N/A,35,42,84,taipei,25.041,24.5,121.519,2020-09-25,74DA38B0511C,台大醫院1,01:18:57,25,2020-09-25T01:18:57Z,17.68,SVR/30/1.29,,,,,,
9,1,2,AirBox,新竹-1(2020),Hsinchu,31,37,88,taipei,25.036,26.12,121.559,2020-09-25,74DA38B05134,手動站：新竹站-1（134）,01:21:22,23,2020-09-25T01:21:22Z,15.74,SVR/30/5.28,,,,,,
9,1,2,AirBox,74DA38B0513A,N/A,0,0,79,taichuang,24.225,24.75,120.656,2020-09-25,74DA38B0513A,黃骨科外科診所,01:20:26,0,2020-09-25T01:20:26Z,0,SVR/30/8.26,,,,,,
9,1,2,AirBox,74DA38B0514C,N/A,20,22,76,taipei,25.002,27,121.555,2020-09-25,74DA38B0514C,PM2.5_box,01:17:28,16,2020-09-25T01:17:28Z,11.14,SVR/30/6.89,,,,,,
9,1,2,AirBox,74DA38B0514E,N/A,28,29,68,taoyuan,25.018,27,121.304,2020-09-25,74DA38B0514E,Ian,01:16:07,21,2020-09-25T01:16:07Z,N/A,N/A,,,,,,
9,1,2,AirBox,74DA38B05152,N/A,7,9,74,miaoli,24.704,25.25,120.911,2020-09-25,74DA38B05152,NHRI-AK,01:20:32,5,2020-09-25T01:20:32Z,7,SVR/30/12.91,,,,,,
9,1,2,AirBox,74DA38B0515A,N/A,27,29,66,new_taipei,24.996,27.75,121.49,2020-09-25,74DA38B0515A,liencheng(indoor),01:16:43,19,2020-09-25T01:16:43Z,15.81,GAM/30/3.65,,,,,,
9,1,2,AirBox,74DA38B05166,N/A,24,26,100,taipei,25.02,25.37,121.547,2020-09-25,74DA38B05166,神奇寶貝-寶卡啾,01:17:23,18,2020-09-25T01:17:23Z,13.1,SVR/30/4.94,,,,,,
