hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
,9,AirBox,2,0,,0,0,100,陽明-1,1,,25.051,20.25,2020-05-23T02:13:32Z,,121.544,Yangming,2020-05-23,08BEAC028A6C,,2.99,,,02:13:32,,BRR/14/3.66,手動站：陽明站-1（A6C）,yilan
,9,AirBox,2,0,,0,0,82,74DA38B051F4,1,,25.034,28,2020-05-23T02:13:47Z,,121.525,N/A,2020-05-23,74DA38B051F4,,5.35,,,02:13:47,,BRR/14/2.21,James,taipei
0,9,AirBox,2,3,acelink.edimax,5,5,100,桃園市市立同安國小,1,0,25.02174333,25.5,2020-05-23T02:17:25Z,0,121.2991216,桃園市桃園區同德十一街48號,2020-05-23,08BEAC09FFB4,0,2.53,v1.06,0,02:17:25,AI-1003WN,BRR/30/2.98,,
0,9,AirBox,2,19,acelink.edimax,37,46,100,臺南市市立文正國小,1,0,23.18719587,27.6,2020-05-23T02:14:35Z,0,120.2660892,臺南市麻豆區南勢里86號,2020-05-23,08BEAC0A0472,0,N/A,v1.06,0,02:14:35,AI-1003WN,N/A,,
0,9,AirBox,2,6,acelink.edimax,8,11,90,桃園市市立瑞梅國小,1,0,24.91027731,24.6,2020-05-23T02:18:42Z,0,121.1713391,桃園市楊梅區梅溪里19鄰三民北路26巷41號,2020-05-23,08BEAC0A0470,0,N/A,v1.06,0,02:18:42,AI-1003WN,N/A,,
0,9,AirBox,2,5,acelink.edimax,8,8,100,嘉義縣縣立三江國小,1,0,23.46882076,28.3,2020-05-23T02:16:20Z,0,120.1745889,嘉義縣東石鄉三家村16號,2020-05-23,08BEAC09FFB0,0,5.62,v1.06,0,02:16:20,AI-1003WN,LR/14/7.47,,
0,9,AirBox,2,22,acelink.edimax,40,51,91,雲林縣縣立古坑國小,1,0,23.6451428,27.6,2020-05-23T02:16:05Z,0,120.5656985,雲林縣古坑鄉朝陽路三號,2020-05-23,08BEAC0A0476,0,69.11,v1.06,0,02:16:05,AI-1003WN,Theil-Sen/21/7.71,,
0,9,AirBox,2,10,acelink.edimax,16,16,98,臺中市立光正國小,1,0,24.06093892,27.3,2020-05-23T02:14:05Z,0,120.6675654,臺中市霧峰區北勢里豐正路五六六號,2020-05-23,08BEAC09FFB2,0,6.08,v1.06,0,02:14:05,AI-1003WN,BRR/30/10.47,,
,9,AirBox,2,6,,9,10,91,74DA38AF47B6,1,,22.626,27.37,2020-05-23T02:14:01Z,,120.265,N/A,2020-05-23,74DA38AF47B6,,7.19,,,02:14:01,,LR/30/2.48,社科院室內,kaohsiung
,9,AirBox,2,1,,1,2,100,汐止-2,1,,25.0513022,24,2020-05-23T02:14:35Z,,121.5443653,Xizhi,2020-05-23,08BEAC028A66,,2.31,,,02:14:35,,BRR/14/3.7,手動站：汐止站-2（A66）,yilan
,9,AirBox,2,6,,9,10,76,AirBox-NUS-08,1,,1.293,25.62,2020-05-23T02:12:23Z,,103.842,N/A,2020-05-23,08BEAC0286E4,,N/A,,,02:12:23,,N/A,SG_CENTRAL _INDOOR,
,9,AirBox,2,18,,31,36,89,嘉義-2,1,,25.0512993,26.37,2020-05-23T02:15:30Z,,121.5443498,Chiayi,2020-05-23,08BEAC028A64,,19.74,,,02:15:30,,BRR/14/3.7,手動站：嘉義站-2（A64）,taipei
,9,AirBox,2,12,,24,28,94,朴子-2,1,,25.04170237,27.37,2020-05-23T02:12:47Z,,121.5440922,Puzi,2020-05-23,08BEAC028A62,,14.53,,,02:12:47,,BRR/14/3.68,手動站：朴子站-2（A62）,taipei
,9,AirBox,2,12,,30,35,93,南投-1,1,,25.04170237,25.62,2020-05-23T02:14:54Z,,121.5440922,Nantou,2020-05-23,08BEAC028A60,,18.4,,,02:14:54,,BRR/14/3.68,手動站：南投站-1（A60）,yilan
