PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,SO2,SiteId,time,Pollutant
3,EPA_COPY,2020-05-23 10:00,1,1.2,1,24.740644,44,6.3,▆,Zhudong,2,λ狥,代,0.2,35,,24.740644,0.21,2020-05-23T02:00:00Z,357,5,121.088903,121.088903,38,8.3,2020-05-23,EPA-Zhudong,3,4,穝λ郡,2.1,23,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,4.3,4,24.131672,46,7.2,▆,Xianxi,3.7,絬﹁,穨代,0.3,31,4,24.131672,0.28,2020-05-23T02:00:00Z,33,8,120.469061,120.469061,33,11,2020-05-23,EPA-Xianxi,3,11,裹て郡,4.3,34,02:00:00,
14,EPA_COPY,2020-05-23 10:00,1,1.9,2,23.711853,32,9.8,▆,Douliu,2.4,ゆせ,代,0.5,44,24,23.711853,0.48,2020-05-23T02:00:00Z,327,17,120.544994,120.544994,17,12,2020-05-23,EPA-Douliu,3,29,冻狶郡,3.1,37,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,1,2,23.467123,38,4.7,▆,Puzi,1.4,Φ,代,0.3,26,5,23.465308,0.26,2020-05-23T02:00:00Z,25,12,120.24781,120.24735,28,6.1,2020-05-23,EPA-Puzi,3,9,古竡郡,1.5,40,02:00:00,
11,EPA_COPY,2020-05-23 10:00,1,1.6,2,26.160469,46,5,▆,Matsu,0.1,皑,代,0.2,44,14,26.153611,0.23,2020-05-23T02:00:00Z,318,16,119.949875,119.9525,47,5.1,2020-05-23,EPA-Matsu,3,27,硈郡,2.9,75,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1.5,2,24.863869,45,10,▆,Longtan,2.4,纒兼,代,0.2,42,,24.863869,0.36,2020-05-23T02:00:00Z,29,5,121.21635,121.21635,45,13,2020-05-23,EPA-Longtan,3,1,堕カ,1.9,21,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,1,2,24.953278,21,30,▆,Zhongli,14,い胏,ユ硄代,0.3,28,7,24.953278,0.55,2020-05-23T02:00:00Z,22,6,121.221667,121.221667,29,44,2020-05-23,EPA-Zhongli,3,11,堕カ,2.4,68,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,1,2,24.151958,33,12,▆,Zhongming,4.1,┚,代,0.3,19,3,24.151958,0.34,2020-05-23T02:00:00Z,100,7,120.641092,120.641092,20,16,2020-05-23,EPA-Zhongming,3,8,籓いカ,2.5,31,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1.9,1,22.755358,22,13,▆,Taitung,10,籓狥,代,0.3,17,4,22.755358,0.41,2020-05-23T02:00:00Z,54,7,121.15045,121.15045,18,23,2020-05-23,EPA-Taitung,3,13,籓狥郡,1.4,62,02:00:00,
1,EPA_COPY,2020-05-23 10:00,1,2,2,24.632203,33,8.9,▆,Dongshan,3.1,,代,0.2,31,,24.632203,0.25,2020-05-23T02:00:00Z,9,5,121.792928,121.792928,33,12,2020-05-23,EPA-Dongshan,3,4,﹜孽郡,1.2,66,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,1.4,2,25.06895,20,26,▆,Cailiao,5.6,垫糳,代,0.4,25,8,25.06895,0.63,2020-05-23T02:00:00Z,141,5,121.481028,121.481028,24,32,2020-05-23,EPA-Cailiao,3,7,穝カ,2.1,8,02:00:00,
9,EPA_COPY,2020-05-23 10:00,1,0.4,2,22.565833,10,33,▆,Xiaogang,23,翠,代,0.3,31,18,22.565833,0.51,2020-05-23T02:00:00Z,288,15,120.337736,120.337736,21,56,2020-05-23,EPA-Xiaogang,3,16,蔼动カ,1.3,58,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,2.4,2,24.565269,27,9.1,▆,Miaoli,2.9,璢,代,0.2,24,3,24.565269,0.33,2020-05-23T02:00:00Z,19,6,120.8202,120.8202,26,12,2020-05-23,EPA-Miaoli,3,6,璢郡,2.6,26,02:00:00,
7,EPA_COPY,2020-05-23 10:00,1,3.7,2,24.225628,43,7.4,▆,Shalu,1.8,‵忱,代,0.2,28,4,24.225628,0.21,2020-05-23T02:00:00Z,9.4,7,120.568794,120.568794,30,9.2,2020-05-23,EPA-Shalu,3,7,籓いカ,1.4,29,02:00:00,
15,EPA_COPY,2020-05-23 10:00,1,0.5,2,22.984581,27,13,▆,Tainan,3.3,籓玭,代,0.4,48,16,22.984581,0.5,2020-05-23T02:00:00Z,294,19,120.202617,120.202617,22,16,2020-05-23,EPA-Tainan,3,20,籓玭カ,2.5,46,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,1.6,2,24.696969,35,10,▆,Toufen,2,繷,穨代,0.2,31,3,24.696969,0.25,2020-05-23T02:00:00Z,55,7,120.898572,120.898572,34,12,2020-05-23,EPA-Toufen,3,2,璢郡,1.2,25,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,3.1,4,23.925175,39,4.7,▆,Erlin,1.2,狶,代,0.4,33,4,23.925175,0.21,2020-05-23T02:00:00Z,30,18,120.409653,120.409653,20,5.9,2020-05-23,EPA-Erlin,3,6,裹て郡,2.3,35,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,1,3,23.968842,30,8.8,▆,Puli,1.6,瓾ń,ㄤ代,0.2,18,,23.968842,0.27,2020-05-23T02:00:00Z,46,7,120.967903,120.967903,18,10,2020-05-23,EPA-Puli,3,5,玭щ郡,1.3,72,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,0.7,1,25.105417,37,14,▆,Shilin,1.7,狶,代,0.2,34,4,25.105917,0.28,2020-05-23T02:00:00Z,236,5,121.515389,121.5145,37,16,2020-05-23,EPA-Shilin,3,7,籓カ,1.8,11,02:00:00,
