SiteAddr,SiteName,adf_status,app,area,c_d0,c_d0_method,date,device_id,fw_ver,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,hcho,model,name,odm,s_d0,s_d1,s_d2,s_g1,s_g8,s_gg,s_h0,s_t0,time,timestamp
高雄市楠梓國小 高雄市楠梓區楠梓路262號,高雄市市立楠梓國小,,AirBox,kaohsiung,19.94,Theil-Sen/30/11.86,2020-05-24,74DA38F20DEC,,2.0,1.0,22.733,120.327,9.0,,,KH-ntps-2,,41.0,50.0,25.0,,,,100.0,26.25,01:31:02,2020-05-24T01:31:02Z
N/A,74DA38F70308,,AirBox,kaohsiung,11.87,BRR/30/16.62,2020-05-24,74DA38F70308,,2.0,1.0,22.767,120.362,9.0,,,DerDer,,2.0,3.0,1.0,,,,59.0,25.87,01:31:33,2020-05-24T01:31:33Z
高雄市美濃國小 高雄市美濃區泰安里第五鄰永安路190號,高雄市市立美濃國小,,AirBox,kaohsiung,6.62,Theil-Sen/30/2.17,2020-05-24,74DA38F20DEE,,2.0,1.0,22.9,120.542,9.0,,,美濃國小(2),,10.0,11.0,6.0,,,,100.0,26.25,01:36:55,2020-05-24T01:36:55Z
N/A,74DA38E2B5C4,,AirBox,pingtung,40.79,BRR/30/14.09,2020-05-24,74DA38E2B5C4,,2.0,1.0,22.557,120.543,9.0,,,境界,,75.0,80.0,55.0,,,,80.0,27.0,01:32:53,2020-05-24T01:32:53Z
桃園市龜山區大坑路一段850號,桃園市市立大坑國小,0,AirBox,,7.58,BRR/30/5.59,2020-05-24,08BEAC0A058C,v1.06,2.0,1.0,25.0446929,121.3148917,9.0,0,AI-1003WN,,acelink.edimax,12.0,13.0,8.0,0.0,0.0,0.0,94.0,28.1,01:37:35,2020-05-24T01:37:35Z
嘉義縣民雄鄉秀林村林仔尾66號,嘉義縣縣立大崎國小,0,AirBox,,32.17,Theil-Sen/30/6.33,2020-05-24,08BEAC0A058A,v1.06,2.0,1.0,23.51209571,120.4717395,9.0,0,AI-1003WN,,acelink.edimax,49.0,61.0,28.0,0.0,0.0,0.0,100.0,29.3,01:39:37,2020-05-24T01:39:37Z
桃園市八德區廣興路601巷25號,桃園市市立廣興國小,0,AirBox,,6.91,BRR/30/5.98,2020-05-24,08BEAC0A058E,v1.06,2.0,1.0,24.94532333,121.28277,9.0,0,AI-1003WN,,acelink.edimax,9.0,9.0,5.0,0.0,0.0,0.0,84.0,27.3,01:39:23,2020-05-24T01:39:23Z
[900]屏東縣屏東市永安里復興南路376號,屏東縣縣立復興國小,,AirBox,pingtung,14.99,BRR/30/1.58,2020-05-24,74DA38F20A54,,2.0,1.0,22.659,120.486,9.0,,,屏東市復興國小Fsps_AirBox2019,,30.0,36.0,17.0,,,,100.0,28.0,01:32:59,2020-05-24T01:32:59Z
N/A,74DA38AF493C,,AirBox,new_taipei,19.69,BRR/14/3.36,2020-05-24,74DA38AF493C,,2.0,1.0,25.043,121.455,9.0,,,神奇寶貝＿WuJessi,,38.0,46.0,30.0,,,,91.0,29.0,01:34:44,2020-05-24T01:34:44Z
臺中市梧棲區文化路一段6號,臺中市立梧南國小,0,AirBox,,3.35,BRR/30/15.84,2020-05-24,08BEAC0A005E,v1.06,2.0,1.0,24.2526944537,120.530718863,9.0,0,AI-1003WN,,acelink.edimax,12.0,14.0,7.0,0.0,0.0,0.0,100.0,28.8,01:36:08,2020-05-24T01:36:08Z
N/A,74DA38E2B494,,AirBox,new_taipei,9.5,BRR/14/4.96,2020-05-24,74DA38E2B494,,2.0,1.0,25.002,121.511,9.0,,,永安站,,0.0,0.0,0.0,,,,60.0,28.75,01:34:41,2020-05-24T01:34:41Z
